1992	4	39.5	1
1992	5	39.5	1
1992	6	39.5	1
1992	7	39.5	1
1992	8	39.5	1
1992	9	39.5	1
1992	10	37.25	1
1992	11	35	1
1992	12	35	1
1993	1	35	1
1993	2	31	1
1993	3	31	1
1993	4	31	1
1993	5	31	1
1993	6	31	1
1993	7	31	1
1993	8	31	1
1993	9	31	1
1993	10	31	1
1993	11	31	1
1993	12	31	1
1994	1	31	1
1994	2	31	1
1994	3	29.5	1
1994	4	29.5	1
1994	5	31.4	1
1994	6	33.6	1
1994	7	33.1	1
1994	8	33.1	1
1994	9	33.1	1
1994	10	33.1	1
1994	11	33.1	1
1994	12	36.1	1
1995	1	37.1	1
1995	2	37.6	1
1995	3	38.35	1
1995	4	37.1	1
1995	5	38.77	1
1995	6	40.77	1
1995	7	41.05	1
1995	8	40.88	1
1995	9	40.93	1
1995	10	40.97	1
1995	11	39.59	1
1995	12	39.35	1
1996	1	39.37	1
1996	2	39.28	1
1996	3	39.01	1
1996	4	39.33	1
1996	5	38.2	1
1996	6	38.2	1
1996	7	38.4	1
1996	8	38.35	1
1996	9	38.1	1
1996	10	37.6	1
1996	11	35.7	1
1996	12	35.35	1
1997	1	35.23	1
1997	2	34.6	1
1997	3	34.5	1
1997	4	35.4	1
1997	5	35.73	1
1997	6	34.5	1
1997	7	35	1
1997	8	36.93	1
1997	9	37.15	1
1997	10	37.15	1
1997	11	33.6	1
1997	12	31.4	1
1998	1	31.4	1
1998	2	33.44	1
1998	3	31.88	1
1998	4	31.18	1
1998	5	30.28	1
1998	6	30	1
1998	7	30	1
1998	8	26.2	1
1998	9	27.09	1
1998	10	27.1	1
1998	11	26.1	1
1998	12	26.1	1
1999	1	26.1	1
1999	2	26.1	1
1999	3	26.1	1
1999	4	26.1	1
1999	5	26.1	1
1999	6	26.1	1
1999	7	26.1	1
1999	8	26.1	1
1999	9	26.1	1
1999	10	25.6	1
1999	11	25.1	1
1999	12	25.1	1
2000	1	25.1	1
2000	2	25.1	1
2000	3	25.1	1
2000	4	25.1	1
2000	5	25.6	1
2000	6	25.6	1
2000	7	25.6	1
2000	8	25.6	1
2000	9	27.15	1
2000	10	27.15	1
2000	11	27.15	1
2000	12	30.75	1
2001	1	32.1	1
2001	2	32.1	1
2001	3	32.6	1
2001	4	33.5	1
2001	5	33.8	1
2001	6	33.9	1
2001	7	34	1
2001	8	33.8	1
2001	9	32.8	1
2001	10	32.4	1
2001	11	29.4	1
2001	12	27.35	1
2002	1	27.35	1
2002	2	28.1	1
2002	3	27.8	1
2002	4	27.09	1
2002	5	26.88	1
2002	6	24.9	1
2002	7	23.15	1
2002	8	22.25	1
2002	9	22.7	1
2002	10	24.5	1
2002	11	24.5	1
2002	12	24.5	1
2003	1	24.9	1
2003	2	25.15	1
2003	3	24.4	1
2003	4	23.45	1
2003	5	23.3	1
2003	6	24.1	1
2003	7	24.35	1
2003	8	25.33	1
2003	9	26.7	1
2003	10	27.5	1
2003	11	29.91	1
2003	12	34	1
2004	1	37.75	1
2004	2	41.75	1
2004	3	48.94	1
2004	4	53.25	1
2004	5	56.44	1
2004	6	59.55	1
2004	7	61.38	1
2004	8	59.25	1
2004	9	55.38	1
2004	10	56.63	1
2004	11	52.83	1
2004	12	52.25	1
2005	1	53.05	1
2005	2	49.9	1
2005	3	50.93	1
2005	4	51.25	1
2005	5	51.31	1
2005	6	51	1
2005	7	50.9	1
2005	8	49.13	1
2005	9	45.25	1
2005	10	42.46	1
2005	11	38.06	1
2005	12	38.23	1
2006	1	43.19	1
2006	2	47.7	1
2006	3	49.75	1
2006	4	52.88	1
2006	5	52.6	1
2006	6	52.38	1
2006	7	52.75	1
2006	8	50.94	1
2006	9	47.1	1
2006	10	44.05	1
2006	11	46	1
2006	12	49.75	1
2007	1	51.29	1
2007	2	52.9	1
2007	3	55.38	1
2007	4	56.12	1
2007	5	56	1
2007	6	61.6	1
2007	7	67.31	1
2007	8	69.35	1
2007	9	68.44	1
2007	10	74.81	1
2007	11	84.6	1
2007	12	91	1
2008	1	91.75	1
2008	2	132	1
2008	3	118.25	1
2008	4	123	1
2008	5	133.2	1
2008	6	159.75	1
2008	7	180	1
2008	8	158.4	1
2008	9	150	1
2008	10	108	1
2008	11	92.25	1
2008	12	78.65	1
2009	1	79.4	1
2009	2	75.38	1
2009	3	61	1
2009	4	63.56	1
2009	5	64.5	1
2009	6	71.38	1
2009	7	73.8	1
2009	8	72.5	1
2009	9	67.64	1
2009	10	71.07	1
2009	11	78.8	1
2009	12	83.1	1
2010	1	97	1
2010	2	94.19	1
2010	3	94.38	1
2010	4	100.15	1
2010	5	100.13	1
2010	6	98.19	1
2010	7	95.98	1
2010	8	89.78	1
2010	9	94.9	1
2010	10	97.45	1
2010	11	107.16	1
2010	12	118.29	1
2011	1	132.48	1
2011	2	128.36	1
2011	3	126.13	1
2011	4	122.5	1
2011	5	119.12	1
2011	6	120.09	1
2011	7	120.75	1
2011	8	120.13	1
2011	9	123.09	1
2011	10	119.39	1
2011	11	113.78	1
2011	12	111.56	1
2012	1	116.46	1
2012	2	117.02	1
2012	3	107.46	1
2012	4	103.59	1
2012	5	95.83	1
2012	6	87.19	1
2012	7	88.24	1
2012	8	91	1
2012	9	88.96	1
2012	10	81.85	1
2012	11	85.89	1
2012	12	92.88	1
2013	1	92.77	1
2013	2	94.94	1
2013	3	90.98	1
2013	4	87.76	1
2013	5	87.71	1
2013	6	82.75	1
2013	7	77.26	1
2013	8	76.96	1
2013	9	77.61	1
2013	10	79.41	1
2013	11	82.25	1
